name,album,artist,release_date,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Wash It All Away,Got Your Six,Five Finger Death Punch,2015-09-04,7,7if350UW8K73L6W4kslCT6,0.486,0.987,4,-3.199,1,0.077,2.76e-05,1.12e-06,0.261,0.28,123.579,224907,4
Wait and Bleed,Slipknot,Slipknot,1999-06-12,60,15DLl1r2zi07Ssq5RT1yT0,0.382,0.996,7,-4.119,1,0.104,0.00208,0.0,0.417,0.327,93.345,147840,4
Y'all Want a Single,Take A Look In The Mirror,Korn,2003-11-19,59,2WSWm0zlL3CJRACHS5KXbB,0.756,0.811,0,-3.685,1,0.0836,0.0107,0.0,0.538,0.715,118.034,197907,4
Dark Side,Dark Side,Blind Channel,2021-01-21,63,1ovFnZv6mUe0LzAbfVqOmh,0.571,0.955,7,-3.795,1,0.105,0.00254,1.55e-06,0.274,0.437,98.01,177790,4
Kaunaz Dagaz,Emblas Saga,Brothers of Metal,2020-01-10,54,313f3J4lGMA0irUrWaUXUh,0.483,0.904,7,-6.054,1,0.0574,0.000434,0.0,0.249,0.393,146.006,253790,4
Breaking the Law,British Steel,Judas Priest,1980,68,2RaA6kIcvomt77qlIgGhCT,0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019,153840,4
Dreadnought,The War to End All Wars,Sabaton,2022-03-04,62,332KBZuHbSZ2hrlkAh0GYT,0.549,0.914,6,-7.294,0,0.032,0.00762,8.01e-05,0.562,0.347,94.028,298000,4
Sugar,System Of A Down,System Of A Down,1998,70,31RTFPrB7wmYBhlkM2ILXG,0.451,0.889,1,-2.693,1,0.261,0.00167,0.00215,0.258,0.586,131.073,153800,4
Cowboys from Hell,Cowboys from Hell,Pantera,1990-07-20,69,2SgbR6ttzoNlCRGQOKjrop,0.415,0.908,2,-9.701,1,0.0765,0.00437,0.0345,0.082,0.437,114.816,243533,4
Deutschland,Rammstein,Rammstein,2019-05-17,73,2bPGTMB5sFfFYQ2YvSmup0,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,322340,4
Duality,Vol. 3: The Subliminal Verses,Slipknot,2004,76,61mWefnWQOLf90gepjOCb3,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,252613,4
Hallowed Be Thy Name - 2015 Remaster,The Number of the Beast (2015 Remaster),Iron Maiden,1982,63,469rBLYJUZHMJLtq2Wch3h,0.313,0.882,0,-6.215,1,0.0355,0.0346,0.338,0.45,0.3,103.981,431093,4
Symphony Of Destruction,Countdown To Extinction,Megadeth,1992-07-14,70,51TG9W3y9qyO8BY5RXKgnZ,0.61,0.891,4,-5.452,0,0.0587,0.000805,0.0928,0.0657,0.51,139.903,246733,4
Kaisarion,IMPERA,Ghost,2022-03-11,63,452WW3sHSkt9AxuKS4cLX0,0.424,0.958,9,-3.805,1,0.0669,0.00054,6.02e-05,0.215,0.353,92.993,302040,4
Carolus Rex - English Version,Carolus Rex (English Version) [Bonus Version],Sabaton,2012-05-25,52,3NrV3jk5lXaQ57rmR2b53X,0.443,0.846,10,-5.545,0,0.0499,0.000594,9.09e-05,0.101,0.24,176.129,293827,4
Shut Me Up,You'll Rebel To Anything (Expanded and Remastered),Mindless Self Indulgence,2005,57,3oZUlZMXkj51AyYG8lGaE7,0.589,0.797,1,-4.213,1,0.173,0.000673,0.0,0.0246,0.787,174.039,168533,4
Twilight Of The Thunder God,Twilight Of The Thunder God,Amon Amarth,2008-09-30,60,5u3l2TONYacJgmRPQVaF9y,0.374,0.92,6,-4.653,1,0.0501,1.62e-05,0.026,0.0802,0.278,191.014,248747,4
Schism,Lateralus,TOOL,2001-05-15,67,55mJleti2WfWEFNFcBduhc,0.567,0.714,9,-8.512,0,0.0302,0.0012,0.417,0.186,0.191,107.441,403533,3
Zeit,Zeit,Rammstein,2022-04-29,68,2KsHzM4L7ThhNJB6MHXkPx,0.55,0.569,7,-7.683,0,0.0462,0.132,1.47e-05,0.174,0.0518,123.179,321687,4
Hearts on Fire,Crimson Thunder,HammerFall,2002-10-28,63,0eV3PB3T0OxW4feG1DlOjQ,0.577,0.901,1,-5.981,1,0.0492,0.000431,3.59e-06,0.672,0.337,90.997,231387,4
People = Shit,Iowa,Slipknot,2001,65,0Y2i84QWPFiFHQfEQDgHya,0.462,0.996,11,-2.973,0,0.231,5.8e-05,0.00377,0.139,0.145,122.072,215600,4
Gott Mit Uns,Carolus Rex (Swedish Version),Sabaton,2012-05-25,46,6vMpikZC6ffKcHyfWZ5pxN,0.443,0.943,10,-3.535,1,0.0524,0.00284,0.00969,0.341,0.464,135.028,195640,4
The Trooper,Piece of Mind,Iron Maiden,1983,0,1W1Fchq0voTFhKGWmn57uW,0.285,0.866,4,-6.762,0,0.0674,0.0175,0.0575,0.541,0.62,162.307,250947,4
Paranoid,Paranoid (2009 Remastered Version),Black Sabbath,1970-09-18,76,1jzDzZWeSDBg5fhNc3tczV,0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,168440,4
Ace of Spades,Ace of Spades (Deluxe Edition),Motörhead,1980-11-07,0,3AVZaAbDvR6rs2NN4n0aAF,0.321,0.99,6,-4.461,1,0.204,0.00248,0.00631,0.0924,0.209,140.574,166707,4
Rock You Like a Hurricane - 2015 - Remaster,Love At First Sting,Scorpions,1984,0,5qrNtSNkPsWfjqaYNugzYT,0.402,0.873,4,-3.209,0,0.0586,0.00484,7.3e-05,0.157,0.684,125.443,253667,4
Highway Star - Remastered 2012,Machine Head (Remastered),Deep Purple,1972-03-25,64,3uMmllZo1AfoEnVT4ENCD3,0.307,0.909,9,-7.08,0,0.0574,0.135,0.0336,0.125,0.443,173.674,366136,4
Wasted Years - 1998 Remaster,Somewhere In Time,Iron Maiden,1986,0,4PSiPZp8MYMDZzuBhCLgc6,0.242,0.953,4,-5.555,0,0.115,0.0605,3.38e-05,0.135,0.342,153.738,307573,4
Master Of Puppets,Master Of Puppets,Metallica,1986-03-03,0,6NwbeybX6TDtXlpXvnUOZC,0.538,0.872,4,-7.658,0,0.0361,0.000608,0.573,0.0946,0.593,105.102,516293,4
Crazy Train,Blizzard of Ozz (Expanded Edition),Ozzy Osbourne,1980-09-20,8,2b9lp5A6CqSzwOrBfAFhof,0.453,0.905,9,-4.001,1,0.115,0.36,0.000569,0.26,0.474,137.571,296200,4
Heaven and Hell - 2009 Remaster,Heaven & Hell,Black Sabbath,1980-04-25,60,3HzWxmvpQU3QHQ59zw1X4V,0.333,0.445,3,-16.343,0,0.0283,0.00858,0.0451,0.167,0.35,89.371,417840,4
Kickstart My Heart,Dr. Feelgood,Mötley Crüe,1989,48,7GonnnalI2s19OCQO1J7Tf,0.359,0.981,7,-3.622,0,0.303,0.00125,0.00236,0.284,0.271,178.98,282653,4
Holy Diver,Holy Diver,Dio,1983,64,54yLLvpezvPO1lA3GspiZj,0.473,0.783,10,-10.671,0,0.0869,0.0125,0.475,0.268,0.124,91.976,340640,4
Smoke On The Water - Remastered 2012,Machine Head (Remastered),Deep Purple,1972-03-25,72,5MMnwYs0hIxkENRsbkWJ2G,0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,340742,4
Run to the Hills - 1998 Remastered Version,The Number Of The Beast (1998 Remastered Edition),Iron Maiden,1982,0,2JS1iE5A5RHvUPH5Zl9jlF,0.221,0.956,0,-4.641,1,0.0876,0.0103,0.000523,0.195,0.432,173.254,233960,4
For Whom The Bell Tolls - Remastered,Ride The Lightning (Deluxe / Remastered),Metallica,1984-07-26,0,2S7dIlkIskYF2mv1R66O1m,0.518,0.858,0,-6.147,1,0.0672,0.00563,0.00349,0.0598,0.249,117.897,309973,4
You've Got Another Thing Coming,Screaming For Vengeance (Expanded Edition),Judas Priest,1982,64,4f3RDq9nYPBeR1yMSgnmBm,0.519,0.833,6,-6.947,0,0.0496,0.00572,4.33e-06,0.104,0.532,138.225,310080,4
Iron Man,Paranoid (Remastered),Black Sabbath,1970-09-18,0,4HzdhXWJqczW6gOIXT6QRH,0.338,0.767,9,-11.51,1,0.0742,0.00344,0.00318,0.0384,0.516,154.97,354773,4
Cum on Feel the Noize,Metal Health,Quiet Riot,1983,69,3vV3cr2TpPqFk07zxYUbla,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085,290960,4
I Want Out,"Keeper of the Seven Keys, Pt. II (Bonus Track Edition)",Helloween,1988,0,07QREe91FdXnDtJ2cBAVUs,0.483,0.871,0,-8.033,1,0.041,0.000444,0.000498,0.287,0.58,90.98,280307,4
Perfect Strangers,Perfect Strangers,Deep Purple,1984,0,521gC8oqqmUknLZpodHOh9,0.521,0.721,2,-7.699,1,0.0254,0.00348,0.0113,0.391,0.611,97.578,328427,4
2 Minutes to Midnight - 1998 Remaster,Powerslave (1998 Remastered Edition),Iron Maiden,1984,0,6aYXSH9JZrD30Av2KlAOMY,0.459,0.953,4,-6.518,0,0.066,0.000275,0.000305,0.141,0.517,95.074,359760,4
Seek & Destroy,Kill 'Em All,Metallica,1983-07-25,0,1LDAh7QQnWvp3GJ9QDa1Pj,0.461,0.95,9,-6.189,1,0.179,0.0638,0.0149,0.211,0.535,140.77,415400,4
I Wanna Rock,Stay Hungry,Twisted Sister,1984-05-10,70,70Z9t1qhytWtG4cCmmi7mU,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,179760,4
Hot for Teacher - 2015 Remaster,1984 (Remastered),Van Halen,1984-01-04,66,6QDbGdbJ57Mtkflsg42WV5,0.552,0.947,2,-4.671,1,0.15,0.000652,0.00025,0.0637,0.465,127.631,282747,4
Strutter,Kiss (Remastered Version),KISS,1974-02-18,36,2GNat4nfktZONFZ7Cqm5Bq,0.511,0.912,1,-5.618,1,0.0594,0.0247,0.0553,0.0943,0.833,131.339,190867,4
Balls to the Wall,Balls To The Wall,Accept,1983,35,28sMmBCmfHoy6NjZnovEYG,0.544,0.739,9,-7.383,1,0.0517,0.00392,0.000143,0.168,0.328,118.287,342600,4
One,...And Justice For All,Metallica,1988-08-25,0,0kUBk3PnCat4oPvTlNsStp,0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178,447440,3
The Number Of The Beast - 1998 Remastered Version,The Number Of The Beast (1998 Remastered Edition),Iron Maiden,1982,0,1s4Ie0cT6P73SRSfh3oyGW,0.42,0.93,2,-5.583,0,0.0638,0.0189,0.00675,0.264,0.344,99.641,291373,4
Children of the Grave,Master Of Reality (Remastered),Black Sabbath,1971-07-21,0,00iV838pAEznn1qLoG8Rxy,0.319,0.65,6,-13.927,1,0.0375,0.0762,0.129,0.0962,0.383,149.886,317206,4
Poison,Trash,Alice Cooper,1989-07-25,70,5XcZRgJv3zMhTqCyESjQrF,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698,270080,4
Panama - 2015 Remaster,1984 (Remastered),Van Halen,1984-01-04,70,05RgAMGypEvqhNs5hPCbMS,0.526,0.978,8,-5.436,1,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,210227,4
